t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
7.58,2.961790309179866,-0.33640614142407116,1.0,-0.5958167423204571,0.3771094431466476,0.20296402490698395,-0.6794089210878972,-0.9511659562683159,-4.133114726767397,0.0,0.7649885350054273,2.0503248455443734,1.668342965721603e-05,-11.686106575850616,2.689358382501527,0.0,3.6707128469393613,-1.3695650468792842,2.831068712794149e-12,3.3732852579070194,3.3547316142367007,3.407326384111495,3.4210539508592204,7.603981683603234,33.041687910983704,0.0,93.42317160301778,-21.499751695715336,0.0
7.6000000000000005,2.9404405285154143,-0.4184866590588459,1.0,-0.6028307342602482,0.3860765167321583,0.185339825037095,-0.6731932696591911,-1.183243152352146,-4.072749644085322,0.0,0.8378977362939729,2.021624795668153,1.6683429832076158e-05,-11.515428325592003,3.3455411953559375,0.0,3.619330919809527,-1.5000949687437704,9.303668946358812e-12,3.3745021281292957,3.3542171781666563,3.4063024982583996,3.4213754025600847,9.459294877451006,32.55910652755768,0.0,92.05870488698042,-26.74552616562568,0.0
7.62,2.914485803839297,-0.49922931678447946,1.0,-0.6097798875369977,0.3942204764632781,0.16732048127436014,-0.6669052115844868,-1.4115376386600949,-3.9993643889537296,0.0,0.9097327708901627,1.9903330667289953,1.6683429689634544e-05,-11.307936405029102,3.9910286482920343,0.0,3.5633090890999197,-1.6287018013987131,-1.937339177970898e-12,3.375732702455238,3.3537524693766976,3.4052515491263087,3.42166048615619,11.28436765356659,31.97243694357,0.0,90.39993571735417,-31.905797868765983,0.0
7.640000000000001,2.8840091098051714,-0.5783759884160968,1.0,-0.6166634547206536,0.40152395944484653,0.14894441079997153,-0.6605454231884216,-1.6353195805986704,-3.913193566678748,0.0,0.9804015478406041,1.9564897740439637,1.6683429841013453e-05,-11.064294145037515,4.623757182612293,0.0,3.5027191735346186,-1.755220673783131,3.291811268013589e-12,3.3769750580501072,3.3533384288792045,3.404174538742133,3.4219091814429876,13.073365437190034,31.28355468288578,0.0,88.45216701293567,-36.96406993365383,0.0
7.66,2.8491078773495566,-0.655673649976399,1.0,-0.6234806954354049,0.4079713946753467,0.13025079133529277,-0.6541145885107338,-1.8538735697264346,-3.8145126567433385,0.0,1.049813471308512,1.9201383039785334,1.6683429678254758e-05,-10.78528044550514,5.241704028603166,0.0,3.4376388481214493,-1.8794893913512745,-3.4139358007223564e-12,3.3782272844227665,3.352975905282648,3.4030725299934272,3.422121487415592,14.82056898169656,30.49466203305414,0.0,86.22162559507181,-41.9041715714268,0.0
7.68,2.8098936822148817,-0.7308751885879958,1.0,-0.6302308764393181,0.4135490362442312,0.11127947761507942,-0.6476133992326838,-2.066500910843192,-3.7036371321269597,0.0,1.1178795567163913,1.8813252583278808,1.6683429743202804e-05,-10.471787285267183,5.842893672127429,0.0,3.368151544399489,-2.0013486443578365,1.2290168882600483e-11,3.379487487506189,3.3526656520747466,3.4019466468905137,3.422297420642985,16.520392652455637,29.608281004815346,0.0,83.7154422811351,-46.71030977223609,0.0
7.7,2.7664918882530225,-0.8037401924684946,1.0,-0.6369132717031999,0.4182449926381576,0.09207091641731902,-0.6410425546026631,-2.272521855648482,-3.5809214507700853,0.0,1.1845125448214693,1.8401003945727847,1.6683429677533113e-05,-10.124816870539265,6.425404170144764,0.0,3.2943463435547216,-2.120642211935242,-1.4765966227514582e-12,3.3807537935657948,3.352408325175361,3.400798074608531,3.422437013764747,18.16740228354481,28.627245269485336,0.0,80.94162908801546,-51.367119793915336,0.0
7.72,2.7190412466496428,-0.8740357195028616,1.0,-0.6435271624886879,0.4220492520936534,0.07266606033083972,-0.6344027613609831,-2.4712777758287334,-3.4467579224077145,0.0,1.2496270135809955,1.7965165620933108,1.6683429750585788e-05,-9.745478430964644,6.987373294970944,0.0,3.216317862303608,-2.2372171622248027,1.5920598173124745e-11,3.3820243529217513,3.3522044807742426,3.399628059291065,3.422540314127377,19.756332550233203,27.55469109999268,0.0,77.90905361850575,-55.85971428152058,0.0
7.74,2.6676934523505356,-0.9415370419360505,1.0,-0.6500718374255553,0.4249537039421658,0.053106280444515874,-0.6276947336638607,-2.6621332686260653,-3.3015754543944107,0.0,1.3131394876605478,1.7506296344152847,1.6683429665598215e-05,-9.334984673518077,7.527004487633367,0.0,3.1341661314056246,-2.3509240487694205,-2.3314683517128287e-12,3.3832973434858804,3.3520545734549696,3.3984379076117186,3.4226073825618637,21.28210380169775,26.394047344527934,0.0,74.62741071246313,-60.173730860714166,0.0
7.76,2.6126126591081107,-1.006028364805078,1.0,-0.6565465925882243,0.4269521559019772,0.03343327814425606,-0.6209191930066059,-2.844478188157127,-3.145838180530541,0.0,1.3749685454486207,1.7024984375833474,1.6683429730657284e-05,-8.894647905603327,8.042572601289752,0.0,3.047996467657632,-2.461617101718949,1.1973755320582313e-11,3.3845709740819094,3.351958954624637,3.3972289860910037,3.4226382923168828,22.73983830015699,25.149024464860126,0.0,71.10719145337909,-64.29537805283371,0.0
