t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
15.08,-0.4848610255708676,0.4613031919820615,1.0,0.9745929337763942,0.028368649965785645,-0.028949419210752753,-0.22028564242728033,1.3987997989198315,-1.2040579848913782,0.0,-0.22439834743387477,0.09752370192446023,3.4927860105476126e-05,-0.6783951352600746,-0.418707752275709,0.0,0.3212659448393135,0.2087874997164993,-0.0002275693887904967,2.149570679829402,2.152060633300773,2.156423322188476,2.153991951917683,1.8231262745634131,1.5851476272988687,0.0,0.4190369644670252,-3.8031591243085696,0.0
15.1,-0.4570182751245685,0.4371403792330293,1.0,0.974681713846305,0.026431681472568982,-0.02749178469678876,-0.22032050445282625,1.3855970469304701,-1.2121201004753575,0.0,-0.21814125882482407,0.10150279564182302,3.058105631364733e-05,-0.6418554056440138,-0.3877492848052775,0.0,0.30439109170204703,0.1893965847769158,-0.00020738910838512432,2.1489862072767445,2.151248409756041,2.155379618819851,2.1531775689059707,1.8305283893712065,1.5115023946003086,0.0,0.3235272037294825,-3.562177941020162,0.0
15.120000000000001,-0.4294322625208264,0.412822419272186,1.0,0.9747642733631915,0.024562244297131688,-0.02601046442845947,-0.22035145397757927,1.373126447234759,-1.2195774560796417,0.0,-0.212224222731477,0.10510841144560343,2.662339995898079e-05,-0.6051858147545801,-0.35821585220700336,0.0,0.2872727946891862,0.17142112325228415,-0.00018863239360420413,2.148455431656266,2.150506395125826,2.1544029670093847,2.152413383989061,1.8361574488435821,1.4426277786225172,0.0,0.2415326888662721,-3.3261039783197086,0.0
15.14,-0.40208832101706016,0.3883611286202221,1.0,0.974840836605351,0.022756230762964732,-0.024508221913659912,-0.22037886538112697,1.3613902600745451,-1.226457604829628,0.0,-0.2066514932830734,0.10836787305669536,2.302758833139934e-05,-0.5684191989962071,-0.3300130250250247,0.0,0.2699707265034601,0.15476294355236953,-0.00017118346334887846,2.1479758037931256,2.149830910589668,2.15349047629961,2.1516976913169104,1.84027206301855,1.3784254775806204,0.0,0.17189531203221198,-3.094941566335611,0.0
15.16,-0.37497174489595253,0.3637677914902052,1.0,0.9749116130330837,0.02100955272316609,-0.022987555215203202,-0.22040308022537122,1.3503901391640023,-1.2327862309055024,0.0,-0.2014262244287751,0.11130656094668188,1.9768577373233728e-05,-0.5315834496947964,-0.30304833628928785,0.0,0.2525354006366137,0.13932593756539324,-0.00015493220343384267,2.1475450272533836,2.1492185515281266,2.152639408080789,2.151028909676148,1.8431083520056526,1.3187977582309376,0.0,0.11352364772495771,-2.868630953883412,0.0
15.18,-0.3480678006365259,0.33905319677515355,1.0,0.9749767974961318,0.019318147479212143,-0.02145071792014041,-0.22042440931727342,1.340127226181018,-1.2385871885956095,0.0,-0.19655064432045483,0.11394795575124322,1.6823470274986282e-05,-0.494701949781433,-0.27723125788636904,0.0,0.23500904139489576,0.12501625942876737,-0.00013977394808840655,2.1471610438470954,2.1486661755892627,2.1518471753318074,2.1504055801120128,1.844881246126468,1.2636486545674552,0.0,0.06538955106866673,-2.6470564512645742,0.0
15.200000000000001,-0.32136173628103043,0.3142276742608256,1.0,0.975036570456707,0.017677982152602682,-0.019899739311017087,-0.22044313460479792,1.33060223678031,-1.2438825406480625,0.0,-0.1920262128313889,0.11631368486106945,1.4171410985239653e-05,-0.45779398517278214,-0.2524731545261195,0.0,0.21742640052686835,0.11174244653230914,-0.0001256092447608423,2.146822020321194,2.1481708910233053,2.151111341904032,2.149826364004521,1.8457857152151003,1.2128850124221755,0.0,0.02652448802565799,-2.430053709574296,0.0
15.22,-0.29483878916223183,0.2893011300820299,1.0,0.9750910982213614,0.016085056677248126,-0.01833644374967163,-0.2204595109124671,1.321815538619829,-1.248692595502201,0.0,-0.1878537632671558,0.11842357074127328,1.1793482938018962e-05,-0.42087513231379087,-0.2286872182183181,0.0,0.19981552152918136,0.09941547330661465,-0.00011234353969027857,2.1465263362022613,2.14773004536782,2.15042962144735,2.1492900415715672,1.8459979224225675,1.1664173964954783,0.0,-0.003984334096199749,-2.2174162105708453,0.0
15.24,-0.2684841921461534,0.2642830814485644,1.0,0.9751405331758244,0.01453540556703049,-0.016762469295309376,-0.2204737675227935,1.313767221861846,-1.2530359430365816,0.0,-0.18403362930011966,0.12029567973229054,9.672613974882503e-06,-0.38395762342859463,-0.20578838585766168,0.0,0.18219845350399555,0.0879487471767762,-9.988687955011372e-05,2.1462725727460623,2.1473412145465756,2.1497998760715156,2.1487955107772665,1.845676299111578,1.1241608748823446,0.0,-0.026997979689797724,-2.0089010389903335,0.0
15.26,-0.2422831785364539,0.23918269067370018,1.0,0.9751850140177004,0.013025098600333289,-0.015179285587914999,-0.22048610960962925,1.306457162578625,-1.2569294885192412,0.0,-0.1805657581109334,0.1219463702601546,7.793487811977957e-06,-0.34705069108338205,-0.1836932422283546,0.0,0.1645919170092297,0.07725805508388833,-8.81535699108222e-05,2.1460595029460334,2.1470021924326996,2.149220114827396,2.1483417866304872,1.8449625384418111,1.086035694748294,0.0,-0.04332989599242898,-1.8042340065718387,0.0
15.280000000000001,-0.2162209857782906,0.21400879854391128,1.0,0.9752246659826235,0.011550240551561944,-0.01358821103582282,-0.22049671952917482,1.2998850794600405,-1.2603884844895423,0.0,-0.1774498106700465,0.1233903395436915,6.1424623832925665e-06,-0.3101608937044231,-0.16231991048009253,0.0,0.14700792491999515,0.06726146787650045,-7.706181363112147e-05,2.1458860825518955,2.146710980911736,2.1486884920866967,2.147928000864457,1.843982506059639,1.0519678614520958,0.0,-0.053750086181240664,-1.6031141941650142,0.0
15.3,-0.1902828580919753,0.18876995707364128,1.0,0.9752596010600758,0.010106970088830977,-0.011990429352683591,-0.22050575797403413,1.2940505841874013,-1.2634265603395936,0.0,-0.17468525002523902,0.12464066802185075,4.707495414535412e-06,-0.27329242371963036,-0.14158793189443497,0.0,0.12945436146743206,0.057879209162370326,-6.653335932039041e-05,2.1457514420493493,2.146465780471883,2.1482033058920593,2.1475534019903417,1.8428470669465609,1.0218896321150666,0.0,-0.05898931633594062,-1.4052179752727465,0.0
15.32,-0.1644540481596822,0.16347446169309554,1.0,0.9752899181956413,0.00869145794708971,-0.010387005494321208,-0.2205133649953089,1.2889532258041954,-1.26605574939749,0.0,-0.1722714183977475,0.12570886084982374,3.4780773731069546e-06,-0.23644740000566128,-0.12141813655294614,0.0,0.11193552317393385,0.04903349423714676,-5.649311873925922e-05,2.145654879550185,2.146264981337315,2.1477629963439644,2.1472173557253873,1.841652827971191,0.9957399333999533,0.0,-0.059743335120555185,-1.210202581351134,0.0
15.34,-0.13871981798226937,0.13813038292077034,1.0,0.9753157034769423,0.007299904477032637,-0.008778901050257137,-0.2205196608972843,1.284592529380772,-1.2682865133449763,0.0,-0.1702076038096026,0.12660488591482227,2.445171874297788e-06,-0.19962614632796077,-0.1017325063351616,0.0,0.09445262536655896,0.04064834411076079,-4.6868789620039316e-05,2.145595854544389,2.1461071551544446,2.1473661440855203,2.1469193457966718,1.8404827960516952,0.9734647120857001,0.0,-0.05667709096276202,-1.017709266246027,0.0
15.36,-0.11306543901767142,0.11274559757550084,1.0,0.9753370303009627,0.005928536662185257,-0.007166989148130821,-0.22052474700879862,1.2809680292362446,-1.2701277638290476,0.0,-0.16849309689525258,0.12733720792100436,1.6011636516253462e-06,-0.16282745746031901,-0.08245403151399408,0.0,0.07700427815796607,0.03264937901856779,-3.759048654636949e-05,2.145573982466012,2.145991047234554,2.147011468941819,2.1466589751253715,1.8394069520884153,0.955017225904975,0.0,-0.05042893653157854,-0.8273661243636734,0.0
15.38,-0.08747619170730085,0.08732781958528894,1.0,0.9753539595208364,0.004573604689569719,-0.00555206893199026,-0.2205287063349007,1.2780792969471795,-1.2715868811509512,0.0,-0.16712723846293343,0.12791281816836989,9.398142774825037e-07,-0.12604885466543808,-0.06350656207752767,0.0,0.05958693606606669,0.024963595115537474,-2.8590349698484358e-05,2.1455890300250386,2.145915569349283,2.146697828766701,2.146435967401513,1.838482740986966,0.9403582810452442,0.0,-0.04161481452513846,-0.6387906146129343,0.0
15.4,-0.06193736449278628,0.06188463045242578,1.0,0.9753665395705394,0.0032313781533495943,-0.003934879677602638,-0.22053160409189446,1.2759259643391123,-1.2726697299374017,0.0,-0.16610945829876986,0.1283372597282466,4.562253079065518e-07,-0.0892868322108577,-0.04481465478849775,0.0,0.0421953250374002,0.017519127921900024,-1.9802162082340467e-05,2.145640911260586,2.145879793075935,2.1464242185457847,2.1462501690555644,1.837755478175907,0.9294564216970018,0.0,-0.030832422262380033,-0.4515918398677011,0.0
15.42,-0.03643425242164256,0.036423509435989855,1.0,0.9753748065662423,0.0018981419657908216,-0.0023161146096019143,-0.22053348812835258,1.2745077416234967,-1.2733806717180405,0.0,-0.16543930561910866,0.12861464777673604,1.4680926958431009e-07,-0.05253709658599019,-0.02630341689478352,0.0,0.02482285125095518,0.010245005287901066,-1.1160974227313752e-05,2.1457296842702718,2.1458829436802915,2.1461897698031014,2.1461015516418303,1.8372586730439187,0.9222880760580283,0.0,-0.018665355396293576,-0.2653726297128989,0.0
15.44,-0.01095215543764167,0.010951863514234628,1.0,0.9753787843833572,0.0005701920457752824,-0.0006964344865610324,-0.22053438923415306,1.273824430809486,-1.2737225743506326,0.0,-0.16511647149732453,0.1287476849059673,9.268225391725947e-09,-0.015794800077875946,-0.007898347325565505,0.0,0.0074619957523863745,0.003070892598086572,-2.602708985710391e-06,2.145855548572383,2.1459243945263076,2.145993750355358,2.145990214646303,1.837014269691875,0.9188376622644172,0.0,-0.0056872332914082654,-0.07973147258754718,0.0
15.46,0.014523623550606374,-0.014522942809614492,1.0,0.9753784847085958,-0.0007561691480633067,0.000923518979007927,-0.2205343213390567,1.2738759344868522,-1.2736968182515327,0.0,-0.1651408035062158,0.12873767128172237,4.2579982974628127e-08,0.0209452296440149,0.01047482385248144,0.0,-0.009895301073314933,-0.004073167272500289,5.93620290640391e-06,2.1460188430594136,2.146003662000082,2.145835564456814,2.145916388731572,1.8370328053266916,0.9190976568104134,0.0,0.007534189717498065,0.10573565785826577,0.0
15.48,0.04000778073102187,-0.0399935577940086,1.0,0.9753739070665893,-0.002084637174752393,0.002543109798111584,-0.22053328160180397,1.2746622600434119,-1.2733032994040043,0.0,-0.16551231273846634,0.12858450956582693,2.469919072736271e-07,0.05768826228931974,0.028890296986990693,0.0,-0.02725726088831648,-0.0112570171181825,1.4519217237440115e-05,2.1462200445005393,2.146120400932039,2.1457147533763097,2.145880439436429,1.8373134865270917,0.9230686271326685,0.0,0.020432921807837325,0.2914335383041238,0.0
15.5,0.06551501348839889,-0.06545261277354796,1.0,0.975365038820874,-0.0034189101954237872,0.004161694412224623,-0.22053125039016513,1.2761835193474649,-1.2725404291313251,0.0,-0.16623117327922315,0.12828670456132313,6.240224392752773e-07,0.09443943841341552,0.0474223646924567,0.0,-0.04463189059610018,-0.018550649452153678,2.321005793510481e-05,2.146459766552665,2.1462744005024685,2.145630996447664,2.1458828713444453,1.837844183496309,0.9307592291628572,0.0,0.0324406338419989,0.47776594985841064,0.0
15.52,0.09106002245302924,-0.09089269243653464,1.0,0.9753518551492696,-0.004762693521663408,0.005778608361664003,-0.220528191151833,1.2784399238929505,-1.271405130635664,0.0,-0.1672977141290505,0.1278413575866224,1.1764701981025437e-06,0.13120354194896736,0.06614557330371984,0.0,-0.06202660322917608,-0.02602446929831914,3.207309660337382e-05,2.1467387592391827,2.146465580615038,2.145584112634173,2.145924332737096,1.8386013422929786,0.9421861697881551,0.0,0.04298255597872283,0.6651339075422092,0.0
15.540000000000001,0.11665751340663141,-0.11630630500111379,1.0,0.9753343189939203,-0.006119704064126484,0.007393152847469157,-0.22052405017550178,1.2814317753722078,-1.2698928323177767,0.0,-0.16871240348453012,0.12724415562128163,1.9084308010148794e-06,0.1679847701609337,0.0851348832207795,0.0,-0.07944783223005347,-0.03374955368249388,4.1173723428671385e-05,2.1470579088549755,2.146693988720731,2.1455740626485875,2.146005620748576,1.8395498149082963,0.9573741332940249,0.0,0.05147336473796804,0.8539338217653163,0.0
15.56,0.1423221989534318,-0.14168585222581037,1.0,0.9753123809865035,-0.007493674616328152,0.009004581119251728,-0.22051875624093462,1.285159451608361,-1.267997457906998,0.0,-0.17047582520905383,0.12648935531662234,2.825321176452649e-06,0.20478649937956317,0.10446582740800181,0.0,-0.09690063528028925,-0.041797905322030204,5.057875292153796e-05,2.1474182382561544,2.1469597970808545,2.1456009516690857,2.146127687034044,1.840642606944423,0.9763556699904927,0.0,0.057313055274440056,1.0445555477976025,0.0
15.58,0.1680687998627027,-0.1670235991911544,1.0,0.9752859793493666,-0.008888357906162065,0.010612084622150724,-0.22051222015627917,1.2896233877463934,-1.265711413446175,0.0,-0.17258864723865128,0.1255697620075427,3.933911664765833e-06,0.24161104486025445,0.12421466726605976,0.0,-0.11438828326187367,-0.0502426982855575,6.035678905118042e-05,2.1478209074915733,2.1472633004508324,2.14566503269492,2.1462916439671127,1.8418205425557161,0.9991710443340338,0.0,0.05988279484585646,1.237380278259711,0.0
15.6,0.1939120459866226,-0.19231164379004947,1.0,0.975255039773617,-0.01030753034439947,0.01221477883699305,-0.22050433418035872,1.29482405256887,-1.2630255711924097,0.0,-0.175051581585891,0.12447670391394448,5.242365769408822e-06,0.27845941311155464,0.14445854503204303,0.0,-0.13191183034477194,-0.05915851283271878,7.057861173095275e-05,2.1482672147310464,2.1476049141735927,2.145766710584306,2.1464987713772588,1.8430118462506404,1.0258680389447472,0.0,0.05854075521098878,1.4327782323091904,0.0
15.620000000000001,0.2198666766542902,-0.2175418858659141,1.0,0.9752194752754896,-0.011754995395185016,0.013811688749085083,-0.22049497132713988,1.3007619197690132,-1.2599292505121564,0.0,-0.17786533552505168,0.12320000177891227,6.760287401430315e-06,0.31533104502419473,0.16527563178177646,0.0,-0.1494696612371227,-0.06862155632046396,8.131755691964497e-05,2.148758597443962,2.1479851726722057,2.1459065468191074,2.1467505238342937,1.8441316411290565,1.0565017099755747,0.0,0.052617923998372396,1.6311060934992407,0.0
15.64,0.2459474404391935,-0.2427059959395307,1.0,0.9751791860326254,-0.013234586488369157,0.01540173388281874,-0.220483984549061,1.307437433980424,-1.2564101958687088,0.0,-0.18103055345785193,0.12172793425309156,8.498775905440388e-06,0.35222354812595563,0.18674527000790547,0.0,-0.16705701120246497,-0.07870986700804355,9.264989744484e-05,2.149296633777559,2.1484047283283507,2.14608526504299,2.1470485384892046,1.8450813631584204,1.0911340883102474,0.0,0.04141389799881623,1.8327041462595453,0.0
15.66,0.27216909419286217,-0.267795383467495,1.0,0.975134059202262,-0.014750169387360807,0.01698371284151346,-0.22047120579540608,1.3148509713291345,-1.252454552021818,0.0,-0.1845477488782233,0.12004719940765532,1.0470488497000933e-05,0.38913241627973405,0.20894810962650234,0.0,-0.18466545530719525,-0.08950349655660328,0.00010465522006200718,2.1498830440829737,2.1488643507440965,2.1463037574190587,2.1473946434676607,1.8457480911861655,1.1298338200425881,0.0,0.024192664914607975,2.037893058616815,0.0
