# timestamp wx wy wz ax ay az
335.858 -0.231135333474197 -0.0156016316232771 0.0405991692691451 0.703319573932999 0.398608950065634 9.83772546944132
335.878 -0.227254127770142 -0.0210480239062742 0.0393980500596109 0.695416214901699 0.405388987982246 9.83283610801375
335.898 -0.223314297911384 -0.0259569184578573 0.038222285988075 0.687588240542286 0.411722028909038 9.82825282430821
335.918 -0.219323454442029 -0.0303989304879692 0.0370730463944313 0.679847065873363 0.417633998910718 9.8240962893316
335.938 -0.215304334183435 -0.0344674559427487 0.0359516510728836 0.672213793639123 0.423144257549636 9.8204502304523
335.958 -0.211283622378362 -0.0382510245570025 0.0348589194649442 0.664698898766032 0.42826130677047 9.81725240011066
335.978 -0.20728063363231 -0.0418057311601121 0.0337952858379402 0.657319991126852 0.432989222033738 9.81440376300197
335.998 -0.203306270161727 -0.0451527455938745 0.0327608609671794 0.650102356026875 0.437330726272148 9.81180520543867
336.018 -0.199363071286126 -0.048278287064586 0.0317551545335137 0.643071997882724 0.441288773580518 9.80935791008217
336.038 -0.195445830952058 -0.0511359839913902 0.0307771025786474 0.636245615808749 0.444869436808155 9.80699092725153
336.058 -0.19154830175537 -0.0536731191375205 0.0298255500394856 0.629616913548325 0.448086008370109 9.80474312478833
336.078 -0.187669890464376 -0.0558569047657387 0.0288997459519404 0.623168374973989 0.450952954561987 9.80268143664205
336.098 -0.183816277872083 -0.0576768837075485 0.027999302420919 0.616878807579913 0.453483214877713 9.80087336064865
336.118 -0.179999538571909 -0.0591448948023442 0.027123492243332 0.610727726580965 0.455687014448647 9.79938669301995
336.138 -0.176237754269488 -0.0602935128753554 0.0262705096059455 0.604701534239262 0.457570650861648 9.79825830176639
336.158 -0.172549250075704 -0.0611594444375712 0.025438034253824 0.598801612479696 0.459136600735853 9.79740099760925
336.178 -0.168946729100374 -0.0617669604478613 0.0246243882929386 0.593036964725493 0.460385726467455 9.79669650934082
336.198 -0.165436717079796 -0.0621263927632794 0.0238287846958499 0.5874195516273 0.461318616931693 9.79602658372639
336.218 -0.162019582497895 -0.0622341260134725 0.0230512084200542 0.581961543503372 0.461936704894354 9.79527309642334
336.238 -0.158689828023434 -0.062073663851365 0.0222922029749899 0.576671449457384 0.462245567026358 9.79435609355781
336.258 -0.155439066648499 -0.0616272996593921 0.0215522757583374 0.571549367714221 0.462261387346312 9.79334772324762
336.278 -0.152258968438994 -0.060887779471766 0.0208315325852132 0.566592324232702 0.462002941038249 9.79235842943448
336.298 -0.149141511121577 -0.059859350663227 0.0201298011576457 0.561797743487899 0.461489185211075 9.79149887248199
336.318 -0.146079008888837 -0.0585577271434498 0.0194465218891471 0.557165667932994 0.460739269731473 9.79087978380894
336.338 -0.143064393113753 -0.0570095174051979 0.0187804664242323 0.55269512632083 0.45976929209724 9.79058431615509
336.358 -0.140093723077797 -0.0552462418955282 0.0181299859635201 0.548368061385248 0.458582976840897 9.79058538939642
336.378 -0.137168644434771 -0.0532983644646542 0.0174936057663148 0.544166532062505 0.457181625994786 9.79082825450223
336.398 -0.134296584281967 -0.0511947424440328 0.0168703120663843 0.540078170374307 0.455566354423719 9.79125809837857
336.418 -0.131490733744727 -0.0489626042769997 0.0162597473330302 0.536095881683628 0.453736916761512 9.79182013376616
336.438 -0.128769262621922 -0.0466271046984892 0.0156622001528525 0.532217325566188 0.451691669556236 9.79245884548732
